time;speed;acc
342.93;1.28;-0.30
342.98;1.24;-0.45
343.04;1.18;-0.59
343.09;1.11;-0.71
343.14;1.04;-0.79
343.20;0.98;-0.84
343.26;0.93;-0.87
343.31;0.91;-0.87
343.37;0.88;-0.86
343.42;0.84;-0.84
343.48;0.79;-0.80
343.53;0.74;-0.74
343.59;0.67;-0.65
343.64;0.60;-0.53
343.70;0.56;-0.39
343.75;0.55;-0.24
343.81;0.56;-0.08
343.86;0.59;0.06
343.92;0.63;0.17
343.97;0.67;0.23
344.03;0.71;0.26
344.08;0.72;0.25
344.13;0.73;0.22
344.19;0.73;0.16
344.25;0.73;0.11
344.30;0.72;0.06
344.36;0.70;0.01
344.41;0.70;-0.03
344.47;0.71;-0.08
344.52;0.72;-0.13
344.58;0.72;-0.20
344.63;0.73;-0.28
344.69;0.72;-0.37
344.74;0.68;-0.45
344.80;0.63;-0.51
344.85;0.57;-0.53
344.91;0.51;-0.51
344.96;0.46;-0.44
345.02;0.43;-0.33
345.07;0.41;-0.19
345.12;0.42;-0.03
345.18;0.44;0.12
345.24;0.48;0.24
345.29;0.52;0.33
345.35;0.56;0.36
345.40;0.60;0.34
345.46;0.63;0.27
345.51;0.65;0.17
345.57;0.65;0.03
345.62;0.64;-0.12
345.68;0.62;-0.27
345.73;0.59;-0.41
345.79;0.55;-0.53
345.84;0.50;-0.62
345.89;0.45;-0.69
345.95;0.41;-0.72
346.01;0.36;-0.72
346.06;0.31;-0.71
346.12;0.27;-0.67
346.17;0.23;-0.62
346.23;0.20;-0.56
346.28;0.18;-0.50
346.34;0.16;-0.45
346.39;0.14;-0.39
346.45;0.13;-0.34
346.50;0.11;-0.30
346.56;0.10;-0.26
346.61;0.08;-0.23
346.67;0.07;-0.20
346.72;0.06;-0.17
346.78;0.05;-0.14
346.83;0.05;-0.11
346.88;0.05;-0.09
346.94;0.04;-0.07
347.00;0.04;-0.05
347.05;0.04;-0.03
347.11;0.04;-0.01
347.16;0.04;-0.00
347.22;0.04;0.01
347.27;0.04;0.02
347.33;0.04;0.03
347.38;0.05;0.03
347.44;0.05;0.03
347.49;0.05;0.03
347.55;0.06;0.02
347.60;0.06;0.02
347.66;0.06;0.01
347.71;0.06;0.00
347.77;0.05;-0.01
347.82;0.05;-0.01
347.88;0.05;-0.02
347.93;0.05;-0.02
347.99;0.05;-0.01
348.04;0.05;-0.01
348.10;0.05;-0.00
348.15;0.05;0.01
348.21;0.05;0.02
348.26;0.05;0.02
348.32;0.05;0.03
348.37;0.05;0.03
348.43;0.06;0.03
348.48;0.06;0.02
348.54;0.07;0.01
348.59;0.07;-0.01
348.64;0.06;-0.02
348.70;0.06;-0.04
348.76;0.05;-0.05
348.81;0.05;-0.06
348.87;0.04;-0.06
348.92;0.04;-0.05
348.98;0.03;-0.04
349.03;0.03;-0.03
349.09;0.03;-0.01
349.14;0.03;0.02
349.20;0.03;0.04
349.25;0.04;0.06
349.31;0.04;0.08
349.36;0.05;0.09
349.42;0.06;0.09
349.47;0.07;0.08
349.53;0.07;0.07
349.58;0.08;0.05
349.63;0.08;0.03
349.69;0.08;0.01
349.75;0.08;-0.02
349.80;0.07;-0.04
349.86;0.07;-0.06
349.91;0.06;-0.07
349.97;0.06;-0.08
350.02;0.05;-0.08
350.08;0.04;-0.08
350.13;0.04;-0.07
350.19;0.03;-0.05
350.24;0.03;-0.03
350.30;0.03;-0.02
350.35;0.03;-0.00
350.41;0.04;0.01
350.46;0.04;0.02
350.52;0.04;0.02
350.57;0.05;0.03
350.62;0.05;0.02
350.68;0.05;0.02
350.74;0.05;0.01
350.79;0.05;0.00
350.85;0.05;-0.01
350.90;0.05;-0.01
350.96;0.05;-0.02
351.01;0.04;-0.02
351.07;0.04;-0.02
351.12;0.04;-0.02
351.18;0.04;-0.01
351.23;0.03;-0.01
351.29;0.03;0.00
351.34;0.03;0.01
351.39;0.04;0.01
351.45;0.04;0.02
351.51;0.05;0.02
351.56;0.05;0.01
351.62;0.05;0.01
351.67;0.05;-0.00
351.73;0.05;-0.01
351.78;0.04;-0.01
351.84;0.04;-0.01
351.89;0.04;-0.01
351.95;0.04;-0.01
352.00;0.04;-0.01
352.06;0.04;-0.00
352.11;0.04;-0.00
352.17;0.04;0.00
352.22;0.04;0.00
352.28;0.04;0.00
352.33;0.04;0.00
352.38;0.04;0.00
352.44;0.04;-0.00
352.50;0.04;-0.00
352.55;0.04;0.00
352.61;0.04;0.01
352.66;0.04;0.01
352.72;0.04;0.02
352.77;0.04;0.03
352.83;0.04;0.04
352.88;0.04;0.05
352.94;0.05;0.05
352.99;0.06;0.05
353.05;0.06;0.05
353.10;0.07;0.03
353.16;0.07;0.02
353.21;0.07;-0.00
353.27;0.07;-0.02
353.32;0.06;-0.04
353.38;0.05;-0.05
353.43;0.05;-0.06
353.49;0.04;-0.06
353.54;0.04;-0.06
353.60;0.04;-0.05
353.65;0.04;-0.04
353.71;0.03;-0.02
353.76;0.03;-0.00
353.82;0.03;0.02
353.87;0.03;0.04
353.93;0.04;0.06
353.98;0.04;0.08
354.04;0.05;0.09
354.09;0.06;0.10
354.14;0.07;0.10
354.20;0.08;0.09
354.26;0.09;0.08
354.31;0.09;0.07
354.37;0.09;0.06
354.42;0.09;0.05
354.48;0.08;0.05
354.53;0.08;0.06
354.59;0.08;0.08
354.64;0.08;0.11
354.70;0.10;0.15
354.75;0.11;0.19
354.81;0.13;0.24
354.86;0.14;0.29
354.92;0.15;0.34
354.97;0.17;0.39
355.03;0.19;0.43
355.08;0.22;0.47
355.13;0.25;0.49
355.19;0.29;0.48
355.25;0.34;0.45
355.30;0.37;0.39
355.36;0.40;0.31
355.41;0.42;0.21
355.47;0.43;0.10
355.52;0.42;-0.01
355.58;0.39;-0.10
355.63;0.36;-0.17
355.69;0.33;-0.21
355.74;0.31;-0.23
355.80;0.30;-0.22
355.85;0.29;-0.20
355.91;0.29;-0.17
355.96;0.29;-0.14
356.02;0.29;-0.10
356.07;0.28;-0.05
356.12;0.27;-0.00
356.18;0.26;0.05
356.24;0.26;0.10
356.29;0.27;0.16
356.35;0.29;0.22
356.40;0.32;0.27
356.46;0.35;0.31
356.51;0.37;0.35
356.57;0.39;0.37
356.62;0.40;0.36
356.68;0.42;0.34
356.73;0.45;0.29
356.79;0.47;0.22
356.84;0.50;0.13
356.89;0.52;0.02
356.95;0.52;-0.09
357.01;0.50;-0.19
357.06;0.46;-0.28
357.12;0.42;-0.34
357.17;0.38;-0.38
357.23;0.34;-0.39
357.28;0.31;-0.37
357.34;0.30;-0.33
357.39;0.30;-0.29
357.45;0.29;-0.25
357.50;0.29;-0.21
357.56;0.28;-0.19
357.61;0.28;-0.18
357.67;0.27;-0.18
357.72;0.25;-0.18
357.78;0.24;-0.18
357.83;0.22;-0.19
357.88;0.21;-0.18
357.94;0.20;-0.17
358.00;0.19;-0.16
358.05;0.19;-0.14
358.11;0.18;-0.13
358.16;0.18;-0.10
358.22;0.17;-0.08
358.27;0.16;-0.06
358.33;0.16;-0.03
358.38;0.16;-0.00
358.44;0.16;0.02
358.49;0.16;0.04
358.55;0.17;0.06
358.60;0.18;0.08
358.66;0.19;0.10
358.71;0.20;0.11
358.77;0.20;0.12
358.82;0.20;0.14
358.88;0.21;0.16
358.93;0.21;0.18
358.99;0.22;0.21
359.04;0.23;0.25
359.10;0.25;0.28
359.15;0.27;0.30
359.21;0.30;0.31
359.26;0.33;0.32
359.32;0.35;0.31
359.37;0.36;0.30
359.43;0.38;0.29
359.48;0.39;0.28
359.54;0.39;0.28
359.59;0.40;0.28
359.64;0.41;0.30
359.70;0.43;0.33
359.76;0.45;0.37
359.81;0.47;0.40
359.87;0.50;0.42
359.92;0.54;0.43
359.98;0.57;0.41
360.03;0.60;0.37
360.09;0.63;0.31
360.14;0.65;0.22
360.20;0.66;0.13
360.25;0.66;0.04
360.31;0.65;-0.04
360.36;0.63;-0.10
360.42;0.60;-0.12
360.47;0.57;-0.10
360.53;0.55;-0.05
360.58;0.54;0.03
360.63;0.54;0.11
360.69;0.56;0.19
360.75;0.61;0.23
360.80;0.65;0.23
360.86;0.70;0.19
360.91;0.73;0.10
360.97;0.74;-0.03
361.02;0.73;-0.16
361.08;0.68;-0.29
361.13;0.63;-0.39
361.19;0.56;-0.44
361.24;0.51;-0.45
361.30;0.47;-0.41
361.35;0.45;-0.33
361.41;0.46;-0.23
361.46;0.47;-0.12
361.52;0.48;-0.00
361.57;0.50;0.10
361.62;0.50;0.19
361.68;0.51;0.26
361.74;0.52;0.32
361.79;0.54;0.36
361.85;0.57;0.38
361.90;0.60;0.38
361.96;0.64;0.35
362.01;0.68;0.30
362.07;0.70;0.22
362.12;0.71;0.12
362.18;0.71;0.01
362.23;0.70;-0.09
362.29;0.67;-0.17
362.34;0.64;-0.22
362.39;0.61;-0.23
362.45;0.58;-0.20
362.51;0.56;-0.13
362.56;0.54;-0.02
362.62;0.54;0.10
362.67;0.56;0.22
362.73;0.60;0.31
362.78;0.64;0.37
362.84;0.69;0.38
362.89;0.74;0.34
362.95;0.78;0.25
363.00;0.79;0.14
363.06;0.79;0.02
363.11;0.77;-0.09
363.17;0.73;-0.17
363.22;0.68;-0.20
363.28;0.64;-0.19
363.33;0.61;-0.12
363.38;0.60;-0.02
363.44;0.61;0.09
363.50;0.64;0.20
363.55;0.68;0.28
363.61;0.73;0.32
363.66;0.78;0.31
363.72;0.81;0.25
363.77;0.84;0.14
363.83;0.84;0.02
363.88;0.82;-0.11
363.94;0.79;-0.22
363.99;0.74;-0.28
364.05;0.69;-0.30
364.10;0.65;-0.26
364.16;0.62;-0.18
364.21;0.61;-0.07
364.27;0.62;0.04
364.32;0.65;0.14
364.38;0.69;0.20
364.43;0.74;0.20
364.49;0.78;0.15
364.54;0.81;0.05
364.60;0.81;-0.08
364.65;0.79;-0.23
364.71;0.75;-0.36
364.76;0.69;-0.45
364.82;0.63;-0.49
364.87;0.56;-0.47
364.93;0.52;-0.39
364.98;0.49;-0.26
365.04;0.49;-0.10
365.09;0.51;0.07
365.14;0.54;0.21
365.20;0.59;0.32
365.26;0.64;0.37
365.31;0.68;0.35
365.37;0.72;0.28
365.42;0.74;0.16
365.48;0.75;0.01
365.53;0.73;-0.16
365.59;0.70;-0.31
365.64;0.65;-0.43
365.70;0.60;-0.51
365.75;0.54;-0.55
365.81;0.50;-0.55
365.86;0.46;-0.51
365.92;0.44;-0.44
365.97;0.43;-0.36
366.03;0.42;-0.27
366.08;0.42;-0.20
366.13;0.42;-0.14
366.19;0.42;-0.10
366.25;0.42;-0.08
366.30;0.42;-0.08
366.36;0.42;-0.08
366.41;0.42;-0.10
366.47;0.41;-0.11
366.52;0.39;-0.12
366.58;0.38;-0.11
366.63;0.37;-0.09
366.69;0.36;-0.05
366.74;0.35;-0.00
366.80;0.35;0.06
366.85;0.36;0.12
366.91;0.38;0.17
366.96;0.40;0.21
367.02;0.42;0.24
367.07;0.44;0.24
367.12;0.46;0.23
367.18;0.48;0.20
367.24;0.49;0.16
367.29;0.50;0.12
367.35;0.49;0.09
367.40;0.48;0.07
367.46;0.48;0.06
367.51;0.47;0.07
367.57;0.47;0.09
367.62;0.48;0.11
367.68;0.50;0.12
367.73;0.52;0.12
367.79;0.54;0.10
367.84;0.55;0.05
367.89;0.56;-0.02
367.95;0.56;-0.10
368.01;0.55;-0.18
368.06;0.52;-0.25
368.12;0.49;-0.31
368.17;0.45;-0.33
368.23;0.42;-0.32
368.28;0.39;-0.27
368.34;0.37;-0.19
368.39;0.36;-0.10
368.45;0.37;0.00
368.50;0.38;0.09
368.56;0.41;0.17
368.61;0.44;0.21
368.67;0.46;0.23
368.72;0.48;0.21
368.78;0.50;0.16
368.83;0.51;0.09
368.88;0.51;0.01
368.94;0.50;-0.08
369.00;0.49;-0.15
369.05;0.47;-0.20
369.11;0.44;-0.23
369.16;0.42;-0.22
369.22;0.39;-0.17
369.27;0.37;-0.10
369.33;0.36;-0.01
369.38;0.36;0.10
369.44;0.38;0.21
369.49;0.42;0.30
369.55;0.45;0.37
369.60;0.49;0.41
369.66;0.53;0.41
369.71;0.56;0.37
369.77;0.58;0.29
369.82;0.60;0.19
369.88;0.61;0.08
369.93;0.61;-0.04
369.99;0.59;-0.15
370.04;0.57;-0.23
370.10;0.53;-0.27
370.15;0.49;-0.27
370.21;0.46;-0.22
370.26;0.43;-0.14
370.32;0.42;-0.02
370.37;0.43;0.11
370.43;0.45;0.23
370.48;0.49;0.34
370.54;0.53;0.41
370.59;0.58;0.44
370.64;0.63;0.42
370.70;0.67;0.35
370.76;0.69;0.26
370.81;0.70;0.14
370.87;0.69;0.02
370.92;0.67;-0.08
370.98;0.64;-0.15
371.03;0.60;-0.19
371.09;0.57;-0.18
371.14;0.55;-0.13
371.20;0.54;-0.06
371.25;0.55;0.03
371.31;0.57;0.11
371.36;0.60;0.17
371.42;0.63;0.21
371.47;0.65;0.22
371.53;0.68;0.20
371.58;0.69;0.16
371.63;0.69;0.11
371.69;0.69;0.08
371.75;0.67;0.06
371.80;0.66;0.08
371.86;0.64;0.13
371.91;0.64;0.20
371.97;0.64;0.29
372.02;0.67;0.38
372.08;0.71;0.43
372.13;0.77;0.44
372.19;0.84;0.39
372.24;0.89;0.27
372.30;0.93;0.09
372.35;0.93;-0.14
372.41;0.91;-0.37
372.46;0.85;-0.59
372.52;0.77;-0.75
372.57;0.67;-0.80
372.62;0.58;-0.74
372.68;0.49;-0.53
372.74;0.42;-0.21
372.79;0.39;0.20
372.85;0.41;0.65
372.90;0.48;1.06
372.96;0.61;1.38
373.01;0.81;1.53
373.07;1.03;1.50
373.12;1.23;1.26
373.18;1.36;0.86
373.23;1.41;0.34
373.29;1.36;-0.23
373.34;1.22;-0.76
373.39;1.03;-1.20
373.45;0.83;-1.50
373.51;0.67;-1.64
373.56;0.55;-1.62
373.62;0.47;-1.47
373.67;0.43;-1.22
373.73;0.42;-0.93
373.78;0.40;-0.63
373.84;0.39;-0.35
373.89;0.38;-0.11
373.95;0.38;0.08
374.00;0.40;0.23
374.06;0.43;0.33
374.11;0.48;0.39
374.17;0.53;0.41
374.22;0.57;0.41
374.28;0.59;0.38
374.33;0.60;0.33
374.38;0.61;0.27
374.44;0.61;0.20
374.50;0.60;0.14
374.55;0.62;0.09
374.61;0.63;0.05
374.66;0.63;0.03
374.72;0.63;0.04
374.77;0.62;0.09
374.83;0.60;0.19
374.88;0.60;0.34
374.94;0.59;0.54
374.99;0.61;0.77
375.05;0.66;1.01
375.10;0.73;1.23
375.16;0.84;1.37
375.21;0.98;1.41
375.27;1.14;1.32
375.32;1.28;1.09
375.38;1.40;0.73
375.43;1.45;0.28
375.49;1.43;-0.21
375.54;1.34;-0.69
375.60;1.19;-1.10
375.65;1.02;-1.41
375.71;0.87;-1.58
375.76;0.73;-1.59
375.82;0.62;-1.48
375.87;0.55;-1.26
375.93;0.51;-0.97
375.98;0.49;-0.64
376.04;0.47;-0.32
376.09;0.48;-0.03
376.14;0.52;0.21
376.20;0.57;0.39
376.26;0.63;0.50
376.31;0.67;0.55
376.37;0.72;0.54
376.42;0.76;0.47
376.48;0.79;0.37
376.53;0.80;0.23
376.59;0.80;0.07
376.64;0.81;-0.08
376.70;0.79;-0.21
376.75;0.76;-0.29
376.81;0.71;-0.30
376.86;0.66;-0.23
376.92;0.61;-0.08
376.97;0.57;0.15
377.03;0.55;0.43
377.08;0.58;0.70
377.13;0.66;0.94
377.19;0.80;1.08
377.25;0.96;1.09
377.30;1.11;0.96
377.36;1.23;0.69
377.41;1.30;0.32
377.47;1.29;-0.11
377.52;1.19;-0.54
377.58;1.04;-0.91
377.63;0.88;-1.17
377.69;0.74;-1.31
377.74;0.63;-1.30
377.80;0.55;-1.15
377.85;0.50;-0.92
377.91;0.49;-0.62
377.96;0.49;-0.30
378.02;0.49;-0.00
378.07;0.51;0.25
378.12;0.56;0.44
378.18;0.63;0.56
378.24;0.71;0.60
378.29;0.76;0.58
378.35;0.80;0.50
378.40;0.82;0.38
378.46;0.84;0.22
378.51;0.83;0.05
378.57;0.81;-0.13
378.62;0.79;-0.29
378.68;0.78;-0.42
378.73;0.74;-0.48
378.79;0.68;-0.47
378.84;0.62;-0.36
378.89;0.56;-0.15
378.95;0.51;0.15
379.01;0.50;0.53
379.06;0.52;0.95
379.12;0.61;1.34
379.17;0.75;1.66
379.23;0.94;1.85
379.28;1.15;1.87
379.34;1.36;1.70
379.39;1.53;1.35
379.45;1.63;0.87
379.50;1.65;0.32
379.56;1.57;-0.23
379.61;1.43;-0.71
379.67;1.26;-1.06
379.72;1.09;-1.26
379.78;0.96;-1.28
379.83;0.87;-1.15
379.88;0.83;-0.91
379.94;0.82;-0.59
380.00;0.83;-0.24
380.05;0.86;0.09
380.11;0.90;0.37
380.16;0.95;0.58
380.22;1.01;0.73
380.27;1.07;0.81
380.33;1.14;0.83
380.38;1.20;0.81
380.44;1.25;0.76
380.49;1.28;0.69
380.55;1.31;0.61
380.60;1.33;0.53
380.66;1.34;0.46
380.71;1.36;0.40
380.77;1.37;0.35
380.82;1.38;0.30
380.88;1.40;0.24
380.93;1.42;0.16
380.99;1.44;0.06
381.04;1.47;-0.07
381.10;1.48;-0.21
381.15;1.46;-0.35
381.21;1.43;-0.47
381.26;1.36;-0.54
381.32;1.28;-0.55
381.37;1.20;-0.48
381.43;1.15;-0.34
381.48;1.11;-0.13
381.54;1.11;0.11
381.59;1.14;0.37
381.64;1.21;0.61
381.70;1.31;0.80
381.76;1.41;0.94
381.81;1.50;1.01
381.87;1.57;1.04
381.92;1.62;1.03
381.98;1.65;1.03
382.03;1.67;1.03
382.09;1.68;1.06
382.14;1.72;1.11
382.20;1.79;1.18
382.25;1.88;1.24
382.31;1.99;1.30
382.36;2.10;1.32
382.42;2.21;1.31
382.47;2.29;1.28
382.53;2.34;1.25
382.58;2.37;1.21
382.63;2.39;1.20
382.69;2.44;1.22
382.75;2.50;1.26
382.80;2.57;1.33
382.86;2.66;1.41
382.91;2.77;1.48
382.97;2.88;1.54
383.02;2.98;1.56
383.08;3.08;1.54
383.13;3.16;1.47
383.19;3.24;1.39
383.24;3.31;1.29
383.30;3.37;1.19
383.35;3.43;1.10
383.41;3.48;1.03
383.46;3.51;0.97
383.52;3.55;0.92
383.57;3.59;0.86
383.62;3.64;0.79
383.68;3.71;0.71
383.74;3.78;0.60
383.79;3.84;0.49
383.85;3.87;0.38
383.90;3.86;0.31
383.96;3.82;0.30
384.01;3.77;0.35
384.07;3.74;0.47
384.12;3.74;0.64
384.18;3.78;0.83
384.23;3.87;1.01
384.29;4.00;1.13
384.34;4.15;1.16
384.39;4.28;1.09
384.45;4.38;0.92
384.51;4.44;0.67
384.56;4.45;0.39
384.62;4.41;0.12
384.67;4.33;-0.08
384.73;4.24;-0.20
384.78;4.16;-0.22
384.84;4.13;-0.15
384.89;4.12;-0.01
384.95;4.15;0.16
385.00;4.22;0.32
385.06;4.30;0.44
385.11;4.37;0.50
385.17;4.42;0.51
385.22;4.45;0.45
385.28;4.46;0.36
385.33;4.46;0.26
385.38;4.45;0.16
385.44;4.43;0.09
385.50;4.41;0.06
385.55;4.41;0.06
385.61;4.40;0.07
385.66;4.41;0.09
385.72;4.43;0.10
385.77;4.46;0.08
385.83;4.50;0.04
385.88;4.52;-0.04
385.94;4.52;-0.13
385.99;4.49;-0.23
386.05;4.45;-0.31
386.10;4.41;-0.37
386.16;4.35;-0.39
386.21;4.30;-0.37
386.27;4.28;-0.32
386.32;4.27;-0.25
386.38;4.27;-0.18
386.43;4.28;-0.11
386.49;4.30;-0.08
386.54;4.33;-0.09
386.60;4.34;-0.13
386.65;4.34;-0.20
386.71;4.32;-0.30
386.76;4.28;-0.41
386.82;4.25;-0.52
386.87;4.19;-0.62
386.93;4.14;-0.71
386.98;4.10;-0.78
387.04;4.06;-0.84
387.09;4.01;-0.90
387.14;3.96;-0.97
387.20;3.91;-1.04
387.26;3.86;-1.13
387.31;3.80;-1.22
387.37;3.73;-1.32
387.42;3.65;-1.41
387.48;3.56;-1.50
387.53;3.46;-1.58
387.59;3.35;-1.65
387.64;3.25;-1.72
387.70;3.15;-1.81
387.75;3.06;-1.92
387.81;2.99;-2.07
387.86;2.90;-2.24
387.92;2.79;-2.43
387.97;2.65;-2.63
388.03;2.48;-2.81
388.08;2.27;-2.93
388.13;2.05;-2.97
388.19;1.83;-2.91
388.25;1.63;-2.72
388.30;1.46;-2.41
388.36;1.33;-1.98
388.41;1.22;-1.46
388.47;1.16;-0.87
388.52;1.15;-0.26
388.58;1.18;0.34
388.63;1.25;0.88
388.69;1.36;1.31
388.74;1.53;1.63
388.80;1.70;1.82
388.85;1.87;1.89
388.91;2.01;1.85
388.96;2.11;1.73
389.02;2.18;1.58
389.07;2.22;1.42
389.12;2.23;1.29
389.18;2.26;1.20
389.24;2.31;1.16
389.29;2.38;1.16
389.35;2.45;1.19
389.40;2.54;1.23
389.46;2.63;1.26
389.51;2.71;1.26
389.57;2.80;1.23
389.62;2.87;1.16
389.68;2.93;1.07
389.73;2.99;0.96
389.79;3.03;0.85
389.84;3.06;0.76
389.89;3.09;0.68
389.95;3.10;0.63
390.01;3.12;0.60
390.06;3.15;0.61
390.12;3.18;0.63
390.17;3.21;0.66
390.23;3.26;0.69
390.28;3.31;0.71
390.34;3.36;0.72
390.39;3.41;0.71
390.45;3.45;0.68
390.50;3.49;0.64
390.56;3.53;0.60
390.61;3.55;0.55
390.67;3.57;0.53
390.72;3.58;0.52
390.78;3.60;0.53
390.83;3.61;0.56
390.88;3.65;0.61
390.94;3.68;0.66
391.00;3.73;0.71
391.05;3.79;0.75
391.11;3.85;0.76
391.16;3.90;0.75
391.22;3.95;0.72
391.27;3.99;0.67
391.33;4.02;0.60
391.38;4.05;0.53
391.44;4.07;0.47
391.49;4.08;0.42
391.55;4.09;0.40
391.60;4.10;0.39
391.66;4.11;0.41
391.71;4.13;0.44
391.77;4.15;0.47
391.82;4.19;0.50
391.88;4.23;0.51
391.93;4.28;0.50
391.99;4.33;0.47
392.04;4.36;0.42
392.10;4.38;0.37
392.15;4.39;0.32
392.21;4.38;0.28
392.26;4.37;0.27
392.32;4.37;0.27
392.37;4.37;0.29
392.43;4.39;0.32
392.48;4.43;0.34
392.54;4.47;0.34
392.59;4.52;0.32
392.64;4.56;0.27
392.70;4.57;0.19
392.76;4.57;0.10
392.81;4.56;0.01
392.87;4.53;-0.08
392.92;4.51;-0.15
392.98;4.48;-0.20
393.03;4.47;-0.23
393.09;4.45;-0.24
393.14;4.45;-0.24
393.20;4.45;-0.24
393.25;4.44;-0.25
393.31;4.43;-0.26
393.36;4.42;-0.29
393.42;4.40;-0.32
393.47;4.38;-0.36
393.53;4.35;-0.39
393.58;4.32;-0.43
393.63;4.29;-0.45
393.69;4.27;-0.47
393.75;4.24;-0.49
393.80;4.21;-0.50
393.86;4.19;-0.52
393.91;4.16;-0.53
393.97;4.13;-0.54
394.02;4.09;-0.56
394.08;4.07;-0.57
394.13;4.03;-0.59
394.19;4.00;-0.61
394.24;3.97;-0.62
394.30;3.93;-0.62
394.35;3.89;-0.62
394.41;3.85;-0.61
394.46;3.81;-0.60
394.52;3.78;-0.58
394.57;3.75;-0.56
394.62;3.72;-0.54
394.68;3.70;-0.53
394.74;3.68;-0.52
394.79;3.66;-0.53
394.85;3.63;-0.55
394.90;3.60;-0.57
394.96;3.57;-0.59
395.01;3.53;-0.62
395.07;3.49;-0.64
395.12;3.45;-0.65
395.18;3.41;-0.66
395.23;3.37;-0.67
395.29;3.34;-0.66
395.34;3.30;-0.66
395.39;3.26;-0.66
395.45;3.23;-0.67
395.51;3.20;-0.68
395.56;3.17;-0.69
395.62;3.13;-0.71
395.67;3.09;-0.72
395.73;3.04;-0.72
395.78;2.99;-0.72
395.84;2.94;-0.72
395.89;2.90;-0.70
395.95;2.86;-0.69
396.00;2.84;-0.67
396.06;2.81;-0.66
396.11;2.78;-0.66
396.17;2.74;-0.66
396.22;2.71;-0.66
396.28;2.67;-0.67
396.33;2.62;-0.67
396.38;2.58;-0.66
396.44;2.54;-0.66
396.50;2.50;-0.64
396.55;2.47;-0.63
396.61;2.44;-0.62
396.66;2.41;-0.61
396.72;2.39;-0.62
396.77;2.36;-0.63
396.83;2.33;-0.64
396.88;2.29;-0.67
396.94;2.24;-0.70
396.99;2.20;-0.72
397.05;2.15;-0.74
397.10;2.11;-0.76
397.16;2.07;-0.77
397.21;2.03;-0.76
397.27;1.99;-0.75
397.32;1.94;-0.73
397.38;1.89;-0.71
397.43;1.84;-0.70
397.49;1.81;-0.69
397.54;1.78;-0.69
397.60;1.77;-0.70
397.65;1.75;-0.72
397.71;1.71;-0.73
397.76;1.67;-0.74
397.82;1.60;-0.72
397.87;1.53;-0.69
397.93;1.46;-0.63
397.98;1.42;-0.57
398.04;1.40;-0.50
398.09;1.41;-0.43
398.14;1.43;-0.37
398.20;1.43;-0.32
398.26;1.42;-0.29
398.31;1.40;-0.25
398.37;1.35;-0.21
398.42;1.31;-0.16
398.48;1.28;-0.10
398.53;1.28;-0.04
398.59;1.30;0.03
398.64;1.34;0.09
398.70;1.37;0.14
398.75;1.40;0.16
398.81;1.42;0.15
398.86;1.41;0.12
398.92;1.40;0.06
398.97;1.39;-0.02
399.03;1.38;-0.11
399.08;1.39;-0.20
399.13;1.39;-0.30
399.19;1.38;-0.38
399.25;1.36;-0.44
399.30;1.31;-0.46
399.36;1.25;-0.45
399.41;1.18;-0.39
399.47;1.13;-0.30
399.52;1.11;-0.18
399.58;1.12;-0.05
399.63;1.16;0.06
399.69;1.21;0.16
399.74;1.26;0.23
399.80;1.29;0.27
399.85;1.31;0.28
399.91;1.30;0.29
399.96;1.28;0.30
400.02;1.27;0.31
400.07;1.27;0.32
400.12;1.30;0.33
400.18;1.34;0.32
400.24;1.40;0.28
400.29;1.45;0.20
400.35;1.48;0.08
400.40;1.49;-0.07
400.46;1.47;-0.24
400.51;1.42;-0.42
400.57;1.36;-0.58
400.62;1.29;-0.70
400.68;1.22;-0.79
400.73;1.17;-0.83
400.79;1.13;-0.83
400.84;1.09;-0.81
400.89;1.05;-0.77
400.95;1.02;-0.71
401.01;0.98;-0.65
401.06;0.94;-0.59
401.12;0.90;-0.52
401.17;0.87;-0.45
401.23;0.85;-0.38
401.28;0.84;-0.30
401.34;0.83;-0.24
401.39;0.82;-0.18
401.45;0.82;-0.15
401.50;0.83;-0.13
401.56;0.83;-0.13
401.61;0.83;-0.15
401.67;0.83;-0.18
401.72;0.81;-0.21
401.78;0.79;-0.23
401.83;0.76;-0.23
401.88;0.73;-0.22
401.94;0.71;-0.19
402.00;0.70;-0.15
402.05;0.70;-0.11
402.11;0.70;-0.07
402.16;0.72;-0.05
402.22;0.73;-0.04
402.27;0.74;-0.05
402.33;0.74;-0.08
402.38;0.73;-0.12
402.44;0.71;-0.15
402.49;0.69;-0.17
402.55;0.67;-0.18
402.60;0.64;-0.16
402.66;0.63;-0.13
402.71;0.62;-0.09
402.77;0.62;-0.04
402.82;0.63;-0.00
402.88;0.65;0.02
402.93;0.66;0.03
402.99;0.68;0.02
403.04;0.68;-0.01
403.10;0.68;-0.05
403.15;0.67;-0.09
403.21;0.66;-0.13
403.26;0.64;-0.15
403.32;0.61;-0.15
403.37;0.59;-0.13
403.43;0.58;-0.09
403.48;0.57;-0.03
403.54;0.57;0.03
403.59;0.59;0.09
403.64;0.61;0.14
403.70;0.63;0.16
403.76;0.65;0.16
403.81;0.67;0.12
403.87;0.69;0.06
403.92;0.69;-0.02
403.98;0.69;-0.11
404.03;0.67;-0.20
404.09;0.64;-0.27
404.14;0.61;-0.32
404.20;0.57;-0.34
404.25;0.54;-0.33
404.31;0.51;-0.29
404.36;0.50;-0.22
