time;speed;acc
14.08;0.09;-0.10
14.13;0.08;-0.11
14.19;0.08;-0.11
14.25;0.07;-0.10
14.30;0.07;-0.09
14.36;0.07;-0.07
14.41;0.07;-0.06
14.47;0.06;-0.05
14.52;0.06;-0.04
14.58;0.06;-0.03
14.63;0.06;-0.02
14.69;0.06;-0.01
14.74;0.05;0.00
14.80;0.05;0.02
14.85;0.06;0.04
14.91;0.06;0.06
14.96;0.06;0.09
15.02;0.07;0.12
15.07;0.07;0.15
15.12;0.08;0.17
15.18;0.10;0.19
15.24;0.11;0.20
15.29;0.13;0.19
15.35;0.15;0.17
15.40;0.17;0.14
15.46;0.18;0.09
15.51;0.18;0.03
15.57;0.17;-0.03
15.62;0.16;-0.08
15.68;0.15;-0.13
15.73;0.13;-0.17
15.79;0.11;-0.19
15.84;0.10;-0.20
15.89;0.09;-0.20
15.95;0.08;-0.19
16.01;0.07;-0.17
16.06;0.06;-0.15
16.12;0.05;-0.13
16.17;0.05;-0.11
16.23;0.04;-0.09
16.28;0.04;-0.07
16.34;0.04;-0.06
16.39;0.04;-0.05
16.45;0.04;-0.04
16.50;0.04;-0.03
16.56;0.03;-0.03
16.61;0.03;-0.02
16.67;0.03;-0.02
16.72;0.03;-0.01
16.78;0.03;-0.01
16.83;0.03;-0.00
16.88;0.03;0.01
16.94;0.03;0.01
17.00;0.03;0.01
17.05;0.03;0.02
17.11;0.03;0.02
17.16;0.04;0.02
17.22;0.04;0.02
17.27;0.04;0.02
17.33;0.04;0.02
17.38;0.04;0.01
17.44;0.04;0.01
17.49;0.04;0.00
17.55;0.04;-0.00
17.60;0.04;-0.01
17.66;0.04;-0.02
17.71;0.04;-0.02
17.77;0.04;-0.02
17.82;0.03;-0.02
17.88;0.03;-0.01
17.93;0.03;-0.01
17.99;0.03;-0.00
18.04;0.03;0.01
18.10;0.03;0.01
18.15;0.04;0.02
18.21;0.04;0.02
18.26;0.04;0.02
18.32;0.04;0.02
18.37;0.04;0.02
18.43;0.04;0.01
18.48;0.04;0.01
18.54;0.04;0.01
18.59;0.04;0.01
18.64;0.04;0.01
18.70;0.04;0.01
18.76;0.05;0.01
18.81;0.05;0.00
18.87;0.05;-0.00
18.92;0.05;-0.01
18.98;0.05;-0.01
19.03;0.04;-0.01
19.09;0.04;-0.01
19.14;0.04;-0.00
19.20;0.04;0.01
19.25;0.04;0.02
19.31;0.04;0.03
19.36;0.04;0.04
19.42;0.05;0.05
19.47;0.05;0.06
19.53;0.06;0.07
19.58;0.06;0.08
19.63;0.07;0.08
19.69;0.07;0.07
19.75;0.08;0.06
19.80;0.08;0.05
19.86;0.09;0.03
19.91;0.09;0.01
19.97;0.09;-0.00
20.02;0.08;-0.02
20.08;0.08;-0.03
20.13;0.07;-0.03
20.19;0.07;-0.03
20.24;0.06;-0.03
20.30;0.06;-0.02
20.35;0.07;-0.01
20.41;0.07;-0.01
20.46;0.07;-0.02
20.52;0.08;-0.02
20.57;0.08;-0.04
20.62;0.07;-0.05
20.68;0.07;-0.07
20.74;0.06;-0.08
20.79;0.05;-0.08
20.85;0.04;-0.08
20.90;0.03;-0.08
20.96;0.03;-0.07
21.01;0.03;-0.06
21.07;0.03;-0.04
21.12;0.03;-0.03
21.18;0.03;-0.02
21.23;0.03;-0.01
21.29;0.03;-0.01
21.34;0.03;-0.00
21.39;0.03;-0.00
21.45;0.03;0.00
21.51;0.03;0.00
21.56;0.02;0.01
21.62;0.03;0.01
21.67;0.03;0.02
21.73;0.03;0.02
21.78;0.03;0.02
21.84;0.03;0.02
21.89;0.04;0.02
21.95;0.04;0.02
22.00;0.04;0.03
22.06;0.04;0.03
22.11;0.04;0.04
22.17;0.04;0.04
22.22;0.04;0.06
22.28;0.04;0.07
22.33;0.05;0.09
22.38;0.05;0.10
22.44;0.06;0.12
22.50;0.07;0.13
22.55;0.08;0.14
22.61;0.09;0.15
22.66;0.10;0.16
22.72;0.11;0.16
22.77;0.11;0.17
22.83;0.12;0.17
22.88;0.13;0.17
22.94;0.14;0.16
22.99;0.16;0.14
23.05;0.18;0.11
23.10;0.19;0.08
23.16;0.19;0.05
23.21;0.19;0.03
23.27;0.17;0.02
23.32;0.15;0.03
23.38;0.14;0.05
23.43;0.14;0.10
23.49;0.15;0.15
23.54;0.17;0.21
23.60;0.20;0.25
23.65;0.23;0.29
23.71;0.26;0.30
23.76;0.28;0.29
23.82;0.30;0.25
23.87;0.31;0.20
23.93;0.32;0.14
23.98;0.32;0.07
24.04;0.32;0.01
24.09;0.31;-0.05
24.14;0.30;-0.10
24.20;0.29;-0.13
24.26;0.27;-0.15
24.31;0.26;-0.17
24.37;0.25;-0.17
24.42;0.24;-0.18
24.48;0.23;-0.18
24.53;0.23;-0.18
24.59;0.22;-0.19
24.64;0.21;-0.20
24.70;0.20;-0.22
24.75;0.19;-0.23
24.81;0.17;-0.24
24.86;0.15;-0.24
24.92;0.13;-0.22
24.97;0.12;-0.20
25.03;0.10;-0.16
25.08;0.09;-0.10
25.13;0.09;-0.04
25.19;0.08;0.03
25.25;0.09;0.09
25.30;0.11;0.16
25.36;0.13;0.21
25.41;0.15;0.24
25.47;0.17;0.26
25.52;0.19;0.27
25.58;0.21;0.25
25.63;0.22;0.23
25.69;0.23;0.19
25.74;0.24;0.15
25.80;0.25;0.10
25.85;0.25;0.05
25.91;0.25;0.00
25.96;0.25;-0.05
26.02;0.25;-0.10
26.07;0.24;-0.14
26.12;0.23;-0.18
26.18;0.21;-0.21
26.24;0.19;-0.23
26.29;0.17;-0.23
26.35;0.15;-0.22
26.40;0.13;-0.20
26.46;0.12;-0.17
26.51;0.11;-0.14
26.57;0.11;-0.11
26.62;0.12;-0.08
26.68;0.12;-0.06
26.73;0.12;-0.06
26.79;0.12;-0.06
26.84;0.12;-0.06
26.89;0.11;-0.07
26.95;0.10;-0.08
27.01;0.10;-0.09
27.06;0.09;-0.10
27.12;0.08;-0.10
27.17;0.08;-0.09
27.23;0.07;-0.09
27.28;0.07;-0.08
27.34;0.07;-0.07
27.39;0.06;-0.06
27.45;0.06;-0.05
27.50;0.06;-0.05
27.56;0.05;-0.04
27.61;0.05;-0.03
27.67;0.05;-0.03
27.72;0.05;-0.02
27.78;0.05;-0.02
27.83;0.05;-0.01
27.88;0.05;-0.01
27.94;0.05;-0.01
28.00;0.05;-0.01
28.05;0.05;-0.02
28.11;0.05;-0.02
28.16;0.04;-0.02
28.22;0.04;-0.02
28.27;0.04;-0.02
28.33;0.04;-0.02
28.38;0.04;-0.02
28.44;0.04;-0.01
28.49;0.04;-0.01
28.55;0.04;-0.00
28.60;0.04;0.00
28.66;0.04;0.01
28.71;0.04;0.01
28.77;0.04;0.01
28.82;0.04;0.01
28.88;0.04;0.01
28.93;0.05;0.01
28.99;0.05;0.01
29.04;0.05;0.00
29.10;0.04;0.00
29.15;0.04;0.01
29.21;0.04;0.01
29.26;0.04;0.02
29.32;0.04;0.03
